#,1,97,2,3,4,5,98
101,武器迅疾+,20004,703,50,0,10,0
102,武器精妙+,20004,702,50,0,10,0
103,武器破甲+,20005,601,100,0,1000,0
104,武器坚韧+,20005,603,100,0,1000,0
105,武器破体+,20008,604,10,0,10,0
106,武器破气+,20008,605,10,0,10,0
107,武器力道+,20004,701,50,0,10,0
108,武器重量-,20005,501,-50,0,1000,0
201,防具闪避+,20004,50086,50,0,10,0
202,防具拆招+,20004,50085,50,0,10,0
203,防具破刃+,20005,603,100,0,1000,21
204,防具坚韧+,20005,601,100,0,1000,22
205,防具护体+,20008,50081,10,0,10,14
206,防具御气+,20008,50082,10,0,10,13
207,防具卸力+,20004,50084,50,0,10,15
208,防具重量-,20005,501,-50,0,1000,0
301,人物灵敏+,20009,50063,5,0,10,17
302,人物根骨+,20009,50064,5,0,10,18
303,人物体质+,20009,50062,5,0,10,16
304,人物膂力+,20009,50061,5,0,10,12
305,人物定力+,20009,50066,5,0,10,20
306,人物悟性+,20009,50065,5,0,10,6
307,外伤上限+,20005,50032,50,0,10,19
308,内伤上限+,20005,50033,50,0,10,0
401,烈毒炼化为,20008,71,0,1,0,0
402,郁毒炼化为,20006,72,0,1,0,1
403,寒毒炼化为,20005,73,0,1,0,2
404,赤毒炼化为,20010,74,0,1,0,3
405,腐毒炼化为,20004,75,0,1,0,4
406,幻毒炼化为,20007,76,0,1,0,5
501,烈毒减少,20008,61,0,1,0,0
502,郁毒减少,20006,62,0,1,0,1
503,寒毒减少,20005,63,0,1,0,2
504,赤毒减少,20010,64,0,1,0,3
505,腐毒减少,20004,65,0,1,0,4
506,幻毒减少,20007,66,0,1,0,5
