#,1,2,3,4,5,6,7,11,98,101,102
0,1,1,3,6,12,96,12,64,0,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
1,1,1,4,8,16,88,11,48,1,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
2,1,2,5,10,20,80,10,32,2,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
3,2,3,6,12,24,72,9,14,3,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
4,3,4,7,14,28,64,8,12,4,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
5,4,5,8,16,32,56,7,10,5,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
6,5,6,9,18,36,48,6,8,6,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
7,6,7,10,20,40,40,5,3,7,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
8,7,8,11,22,44,32,4,2,8,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
9,8,9,12,24,48,24,3,1,9,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98,10000
