#,99,6,7,15,17,16,1,12,2,10,3,4,5,8,9,11,13,14,23,97,98,101,102,103
1,1,0,0,0,0,50,0,0|0,0,35,0,0,1,0,50,0,1,-1,50,0,1,9120&1,9121&1,9122&1
2,1,0,0,0,0,50,0,0|0,0,0,0,0,0,0,0,0,0,-1,50,70,2,13215,0,0
3,1,0,0,0,0,50,0,0|0,0,0,0,0,0,0,0,0,0,-1,50,0,3,0,13415,0
4,1,0,0,0,0,50,0,0|0,0,0,0,0,0,0,0,0,0,-1,100,50,3,13426,0,0
1001,0,0,0,0,0,50,3001|3002|3003,1|2,0,50,80,0,3,0,50,0,0,-1,50,0,1,0,2301&1,2303&1
1002,0,0,0,0,0,50,3011|3012,1|2,0,50,80,0,3,0,50,0,0,-1,50,0,1,0,2301&1,2303&1
1003,0,0,0,0,0,150,3013|3011|3011|3012|3012,0|0,0,0,200,0,0,0,200,0,0,-1,50,0,1,1062,1063,0
1004,1,0,0,0,0,100,0,0|0,0,0,80,0,3,0,50,0,0,-1,50,0,1,1213&1,1214&1,1215&1
1005,0,0,0,0,0,100,3005|3011|3012,0|0,0,0,1000,0,0,0,200,0,0,-1,100,50,1,1314,121&1,0
101,1,0,0,0,0,100,0,0|0,0,100,40,100,3,1,100,1,1,-1,100,0,2,177&1,121&1,114&1
102,1,0,0,0,0,100,0,0|0,0,100,40,0,3,1,100,1,1,-1,100,0,2,124&1,121&1,114&1
105,1,0,0,0,0,100,0,0|0,0,50,40,0,3,0,50,1,1,-1,50,0,1,-1,116&1,114&1
106,1,0,0,0,0,100,0,0|0,0,100,0,0,3,1,100,1,1,-1,50,20,1,9168&1,9169&2,9170&1
107,1,0,0,0,0,100,0,0|0,0,100,0,0,3,1,150,1,1,-1,100,0,2,9178&1,121&1,9180&1
108,1,0,0,0,0,100,0,0|0,0,100,0,0,3,1,150,1,1,-1,100,0,2,9181&1,121&1,9183&1
109,1,0,0,0,0,50,0,0|0,0,50,0,0,1,0,50,0,1,-1,50,0,1,9269&1,9270&1,9270&1
110,1,5,0,0,0,50,0,0|0,0,50,0,0,1,0,50,0,1,-1,50,0,1,9269&1,9270&1,9270&1
111,1,0,0,0,0,0,0,0|0,0,35,0,0,0,0,50,0,1,-1,50,0,1,9267&3,9268&4,0
112,1,0,0,0,0,0,0,0|0,0,35,0,0,0,0,50,0,1,-1,50,0,1,125&5,126&5,0
113,1,0,0,0,0,0,0,0|0,0,35,0,0,0,0,50,0,1,-1,50,0,1,9120&1,9121&1,0
4001,0,0,0,0,0,0,3103|3103|3104,1|1,3101|3101|3102,50,40,0,3,0,100,0,0,-1,50,0,1,125&1,126&1,0
