#,1,2,3,4,5,6,7,8
101,0,1|5|6|10|12|14,30,9,10,0,-40,-40
102,3101,1|5|6|10|12|14,40,9,10,0,-40,-40
103,3102,1|5|6|10|12|14,60,9,10,0,-40,-40
104,3103,1|5|6|10|12|14,80,9,10,0,-40,-40
105,3104|3104,1|5|6|10|12|14,100,8,30,0,-40,-40
201,0,2|3|7|8|13|15,70,9,10,0,-20,-20
202,3201,2|3|7|8|13|15,90,9,10,0,-20,-20
203,3202,2|3|7|8|13|15,120,9,10,0,-20,-20
204,3203,2|3|7|8|13|15,160,9,30,0,-20,-20
205,3204|3204,2|3|7|8|13|15,200,8,60,0,-20,-20
301,0,4|5|6|9|11|14,120,9,10,0,-40,0
302,3301,4|5|6|9|11|14,150,9,10,0,-40,0
303,3302,4|5|6|9|11|14,190,9,30,0,-40,0
304,3303,4|5|6|9|11|14,240,8,30,0,-40,0
305,3304|3304,4|5|6|9|11|14,300,7,60,0,-40,0
401,0,1,500,7,60,1,0,0
402,0,2,500,7,60,1,0,0
403,0,3,400,8,30,0,0,0
404,0,4,400,8,30,0,0,0
405,0,5,400,9,30,0,0,0
406,0,6,400,9,30,0,0,0
407,0,7,500,7,60,1,0,0
408,0,8,500,7,60,1,0,0
409,0,9,500,7,60,1,0,0
410,0,10,400,9,30,0,0,0
411,0,11,400,9,30,0,0,0
412,0,12,400,8,30,0,0,0
413,0,13,400,8,30,0,0,0
414,0,14,500,7,60,1,0,0
415,0,15,500,7,60,1,0,0
501,0,3|5|6|10|12|15,320,8,30,2,-20,20
502,3501,1|2|6|9|11|15,400,8,30,2,-20,20
503,3502,2|4|7|8|12|13,510,8,60,2,-20,20
504,3503,1|5|7|10|11|14,640,7,60,3,-20,20
505,3504|3504,3|4|8|9|13|14,800,6,100,4,-20,20
601,0,2|3|7|8|12|13,480,8,30,5,20,-20
602,3601,2|3|7|8|12|13,600,8,60,5,20,-20
603,3602,2|3|7|8|12|13,760,7,60,5,20,-20
604,3603,2|3|7|8|12|13,960,7,100,6,20,-20
605,3604|3604,2|3|7|8|12|13,1200,6,150,7,20,-20
701,0,3|5|9|10|12|15,730,7,60,8,0,0
702,3701,3|5|9|10|12|15,920,7,60,8,0,0
703,3702,3|5|9|10|12|15,1150,7,100,8,0,0
704,3703,3|5|9|10|12|15,1440,6,100,9,0,0
705,3704|3704,3|5|9|10|12|15,1800,5,150,10,0,0
801,0,3|3|3|8|8|8,1050,7,60,11,40,0
802,3801,4|4|4|13|13|13,1320,7,100,11,40,0
803,3802,10|10|10|12|12|12,1660,6,100,11,40,0
804,3803,1|1|1|11|11|11,2080,6,150,12,40,0
805,3804|3804,7|7|7|15|15|15,2600,5,210,13,40,0
901,0,3|3|10|10|12|12,1470,6,100,14,0,0
902,3901,3|3|10|10|12|12,1840,6,100,14,0,0
903,3902,3|3|10|10|12|12,2300,6,150,14,0,0
904,3903,3|3|10|10|12|12,2880,5,150,15,0,0
905,3904|3904,3|3|10|10|12|12,3600,4,210,16,0,0
1001,0,2|2|9|9|14|14,2080,6,100,16,-40,40
1002,4001,1|1|6|6|11|11,2600,6,150,16,-40,40
1003,4002,3|3|8|8|12|12,3260,5,150,16,-40,40
1004,4003,5|5|10|10|15|15,4080,5,210,17,-40,40
