#,0,1
101,艾,0
102,安,0
103,敖,0
201,巴,0
202,白,0
203,柏,0
204,班,0
205,包,0
206,鲍,0
207,贝,0
208,毕,0
209,边,0
210,卞,0
211,伯,0
212,卜,0
213,步,0
214,百里,0
301,蔡,0
302,苍,0
303,曹,0
304,岑,0
305,曾,0
306,查,0
307,柴,0
308,昌,0
309,常,0
310,车,0
311,陈,0
312,成,0
313,程,0
314,池,0
315,仇,0
316,楚,0
317,褚,0
318,崔,0
401,戴,0
402,单,0
403,党,0
404,邓,0
405,狄,0
406,刁,0
407,丁,0
408,董,0
409,都,0
410,窦,0
411,杜,0
412,段,0
413,端木,0
414,澹台,0
415,第五,0
416,东方,0
417,东郭,0
418,东门,0
501,鄂,0
601,法,0
602,樊,0
603,范,0
604,方,0
605,房,0
606,费,0
607,丰,0
608,封,0
609,冯,0
610,凤,0
611,伏,0
612,符,0
613,傅,0
614,富,0
701,甘,0
702,高,0
703,葛,0
704,耿,0
705,宫,0
706,龚,0
707,巩,0
708,古,0
709,谷,0
710,顾,0
711,关,0
712,管,0
713,广,0
714,桂,0
715,郭,0
716,公良,0
717,公孙,0
718,公西,0
719,公羊,0
720,公冶,0
721,谷梁,0
722,归海,0
801,韩,0
802,杭,0
803,郝,0
804,何,0
805,和,0
806,贺,0
807,衡,0
808,弘,0
809,红,0
810,洪,0
811,侯,0
812,胡,0
813,花,0
814,华,0
815,怀,0
816,桓,0
817,黄,0
818,惠,0
819,霍,0
820,呼延,0
821,赫连,0
822,皇甫,0
1001,姬,0
1002,吉,0
1003,计,0
1004,纪,0
1005,季,0
1006,贾,0
1007,简,0
1008,江,0
1009,姜,0
1010,蒋,0
1011,焦,0
1012,解,0
1013,金,0
1014,晋,0
1015,经,0
1016,荆,0
1017,景,0
1018,居,0
1019,夹谷,0
1101,康,0
1102,柯,0
1103,空,0
1104,孔,0
1105,寇,0
1106,匡,0
1107,况,0
1201,赖,0
1202,蓝,0
1203,郎,0
1204,劳,0
1205,乐,0
1206,雷,0
1207,冷,0
1208,黎,0
1209,李,0
1210,厉,0
1211,连,0
1212,廉,0
1213,梁,0
1214,廖,0
1215,林,0
1216,蔺,0
1217,凌,0
1218,刘,0
1219,柳,0
1220,龙,0
1221,娄,0
