#,1,2,3,4,5,11,12,13,14,15,16,17
101,101,102,103,104,1,0,0,0,0,0,0,0
10001,10001|10002,10003|10004,10005|10006,10007|10008,2,0,0,0,0,0,0,0
10011,10011|10012,10013|10014,10015|10016,10017|10018,2,0,0,0,0,0,0,0
10021,10021,10022,10023,10024,2,0,0,0,0,0,0,0
10031,10031,10032,10033,10034,2,0,0,0,0,0,0,0
10041,10041,10042,10043,10044,2,0,0,0,0,0,0,0
10051,10051,10052,10053,10054,2,0,0,0,0,0,0,0
10061,10061,10062,10063,10064,2,0,0,0,0,0,0,0
10071,10071|10072,10073|10074,10075|10076,10077|10078,2,0,0,0,0,0,0,0
10081,10081,10082,10083,10084,2,0,0,0,0,0,0,0
10091,10091,10092,10093,10094,2,0,0,0,0,0,0,0
10101,10101|10102,10103|10104,10105|10106,10107|10108,2,0,0,0,0,0,0,0
10111,10111,10112,10113,10114,2,0,0,0,0,0,0,0
10121,10121|10122,10123|10124,10125|10126,10127|10128,2,0,0,0,0,0,0,0
10131,10131,10132,10133,10134,2,0,0,0,0,0,0,0
10141,10141,10142,10143,10144,2,0,0,0,0,0,0,0
10151,10151|10152,10153|10154,10155|10156,10157|10158,2,0,0,0,0,0,0,0
10161,10161|10162,10163|10164,10165|10166,10167|10168,2,0,0,0,0,0,0,0
10171,10171,10172,10173,10174,2,0,0,0,0,0,0,0
10181,10181,10182,10183,10184,2,0,0,0,0,0,0,0
10191,10191,10192,10193,10194,2,0,0,0,0,0,0,0
20001,200010,200011,200012,200013,1,0,0,0,0,0,0,0
20002,200020,200021,200022,200023,1,0,0,0,0,0,0,0
20003,200400,200401,200402,200403,1,0,0,0,0,0,0,0
20004,200080,200081,200082,200083,1,0,0,0,0,0,0,0
20005,200410,200411,200412,200413,1,0,0,0,0,0,0,0
20006,200030,200031,200032,200033,1,0,0,0,0,0,0,0
20007,200080,200081,200082,200083,1,0,0,0,0,0,0,0
20008,200410,200411,200412,200413,1,0,0,0,0,0,0,0
20009,200030,200031,200032,200033,1,0,0,0,0,0,0,0
