#,1,101,1001,2,102,1002,3,103,1003,4,104,1004,5,105,1005,6,106,1006
0,3401|3408|3415|3422,6,5,3001|3008,6,5,3101|3108|3201|3208,6,5,3301|3308,6,5,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,5,100501|100510|100601|100610,8,10
1,3401|3408|3415,6,10,3001|3008,6,20,3101|3108|3201|3208,6,20,3301|3308,6,15,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
2,3401|3408|3415|3422,6,20,3001|3008,6,20,3101|3108|3201|3208,6,15,3301|3308,6,15,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
3,3401|3408|3415,6,10,3001|3008,6,15,3101|3108|3201|3208,6,20,3301|3308,6,10,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
4,3401|3408|3415,6,15,3001,6,10,3101|3108|3201|3208,6,5,3301|3308,6,15,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,5,0,0,0
5,3401|3408|3415|3422,6,15,3001|3008,6,25,3201|3208,6,10,3301|3308,6,15,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
6,3401|3408|3415,6,25,0,6,10,0,6,0,3308,6,15,0,3,0,0,0,0
7,3401|3408|3415|3422,6,15,3001|3008,6,20,3101|3108|3201|3208,6,10,3308,6,20,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093,3,10,0,0,0
8,0,6,0,0,6,0,3101|3108|3201|3208,6,30,0,6,0,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,5,0,0,0
9,3401|3415,6,10,3008,6,15,3201|3208,6,5,3308,6,25,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093,3,10,0,0,0
10,3415,6,5,3001|3008,6,15,3101|3108|3201|3208,6,5,3308,6,15,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093,3,15,0,0,0
11,3401|3422,6,20,3001|3008,6,10,3101|3108|3201|3208,6,5,3301|3308,6,10,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
12,3401|3408|3415|3422,6,15,3001|3008,6,15,3101|3108|3201|3208,6,10,3301|3308,6,15,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
13,3401|3408|3415|3422,6,10,0,6,0,3101|3108|3201|3208,6,20,3301|3308,6,5,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093|4201|4208|4215|4222|4229|4236,3,10,0,0,0
14,3408|3422,6,15,3008,6,10,3201|3208,6,5,3301|3308,6,15,4201|4208|4215|4222|4229|4236,3,10,0,0,0
15,3401|3408|3415|3422,6,20,3001|3008,6,20,3101|3108|3201|3208,6,10,3301|3308,6,20,4001|4005|4009|4013|4017|4021|4025|4029|4033|4037|4041|4045|4049|4053|4057|4061|4065|4069|4073|4077|4081|4085|4089|4093,3,10,0,0,0
